"No.","Time","Source","Destination","Protocol","Length","Info"
"4502","5.068810","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=3, FN=0, Flags=.......TC"
"4504","5.069886","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=3, FN=0, Flags=....R..TC"
"4506","5.070981","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=3, FN=0, Flags=....R..TC"
"4510","5.072661","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=4, FN=0, Flags=.......TC"
"4514","5.073746","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=4, FN=0, Flags=.......TC"
"4518","5.074643","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=5, FN=0, Flags=.......TC"
"4522","5.078464","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=5, FN=0, Flags=.......TC"
"4528","5.080554","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=6, FN=0, Flags=.......TC"
"4532","5.081622","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=6, FN=0, Flags=.......TC"
"4540","5.188550","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=7, FN=0, Flags=....R..TC"
"4542","5.189627","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=4, FN=0, Flags=....R..TC"
"4544","5.190722","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=7, FN=0, Flags=....R..TC"
"4552","5.193733","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=8, FN=0, Flags=.......TC"
"4554","5.194792","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=5, FN=0, Flags=.......TC"
"4556","5.195859","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=8, FN=0, Flags=.......TC"
"4560","5.196927","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=6, FN=0, Flags=.......TC"
"4564","5.200893","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=7, FN=0, Flags=.......TC"
