predict_window,hidden,mse_mean,mae_mean,base_name
96,96,0.12194415678580602,0.24045928319295248,ETTm2_96_96_ns_Transformer_ETTm2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h96_l2
96,128,0.117897463341554,0.2375209778547287,ETTm2_96_96_ns_Transformer_ETTm2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h128_l2
96,256,0.11834155768156052,0.23644456764062247,ETTm2_96_96_ns_Transformer_ETTm2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h256_l2
192,96,0.1505070428053538,0.2687116265296936,ETTm2_96_192_ns_Transformer_ETTm2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h96_l2
192,128,0.14903690417607626,0.2680605153242747,ETTm2_96_192_ns_Transformer_ETTm2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h128_l2
192,256,0.14354522029558817,0.263284295797348,ETTm2_96_192_ns_Transformer_ETTm2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h256_l2
336,96,0.1922802378733953,0.30243489146232605,ETTm2_96_336_ns_Transformer_ETTm2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h96_l2
336,128,0.18610337376594543,0.2991821567217509,ETTm2_96_336_ns_Transformer_ETTm2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h128_l2
336,256,0.17819108565648398,0.2932272255420685,ETTm2_96_336_ns_Transformer_ETTm2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h256_l2
720,96,0.24349384009838104,0.3418085773785909,ETTm2_96_720_ns_Transformer_ETTm2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h96_l2
720,128,0.2467181384563446,0.3431263566017151,ETTm2_96_720_ns_Transformer_ETTm2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h128_l2
720,256,0.23693394660949707,0.33946238954861957,ETTm2_96_720_ns_Transformer_ETTm2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_Exp_h256_l2
