pred_window,extended,feature_type,mse,mse_abrupt,mae,mae_abrupt
96,0,M,0.1133,0.1159,0.2328,0.2349
96,0,S,0.129,0.1697,0.2511,0.277
96,1,M,0.1122,0.1157,0.2328,0.2342
96,1,S,0.1348,0.1953,0.2552,0.2911
192,0,M,0.1438,0.1444,0.2625,0.2591
192,0,S,0.2015,0.2251,0.3264,0.3431
192,1,M,0.1462,0.1407,0.2638,0.2593
192,1,S,0.2084,0.2498,0.3389,0.364
336,0,M,0.1909,0.1963,0.2999,0.3037
336,0,S,0.2738,0.3728,0.4011,0.4674
336,1,M,0.1922,0.2028,0.302,0.3079
336,1,S,0.2634,0.3471,0.394,0.4516
720,0,M,0.2461,0.2832,0.3468,0.3747
720,0,S,0.3044,0.2425,0.4312,0.3881
720,1,M,0.2523,0.2649,0.35,0.3703
720,1,S,0.3144,0.25,0.432,0.392
